Letters Received by the Superintendent of Indian Trade,1806-1824,1 (all),"multiple, including Indiana",T58,https://dlcs-ida.org/iiif-resource/ida/roll/T-58/1/,,Knight Foundation
Records of the New Mexico Superintendency of Indian Affairs,1849-1860,1,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/01/,,Knight Foundation
Records of the New Mexico Superintendency of Indian Affairs,1854-1856,2,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/02/,,
Records of the New Mexico Superintendency of Indian Affairs,1857-1858,3,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/03/,,
Records of the New Mexico Superintendency of Indian Affairs,1859-1860,4,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/04/,,
Records of the New Mexico Superintendency of Indian Affairs,1861-1863,5,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/05/,,
Records of the New Mexico Superintendency of Indian Affairs,1864-1865,6,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/06/,,
Records of the New Mexico Superintendency of Indian Affairs,1866-1867,7,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/07/,,
Records of the New Mexico Superintendency of Indian Affairs,1867-1869,8,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/08/,,
Records of the New Mexico Superintendency of Indian Affairs,1869,9,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/09/,,
Records of the New Mexico Superintendency of Indian Affairs,1869,10,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/10/,,
Records of the New Mexico Superintendency of Indian Affairs,1870,11,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/11/,,
Records of the New Mexico Superintendency of Indian Affairs,1870,12,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/12/,,
Records of the New Mexico Superintendency of Indian Affairs,1870-1871,13,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/13/,,
Records of the New Mexico Superintendency of Indian Affairs,1871,14,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/14/,,
Records of the New Mexico Superintendency of Indian Affairs,1871-1872,15,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/15/,,
Records of the New Mexico Superintendency of Indian Affairs,1872,16,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/16/,,
Records of the New Mexico Superintendency of Indian Affairs,1872,17,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/17/,,
Records of the New Mexico Superintendency of Indian Affairs,1873,18,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/18/,,
Records of the New Mexico Superintendency of Indian Affairs,1873,19,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/19/,,
Records of the New Mexico Superintendency of Indian Affairs,1873,20,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/20/,,
Records of the New Mexico Superintendency of Indian Affairs,1873,21,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/21/,,
Records of the New Mexico Superintendency of Indian Affairs,1874,22,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/22/,,
Records of the New Mexico Superintendency of Indian Affairs,1874,23,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/23/,,
Records of the New Mexico Superintendency of Indian Affairs,1875-1880,24,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/24/,,
Records of the New Mexico Superintendency of Indian Affairs,1852-1856,25,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/25/,,
Records of the New Mexico Superintendency of Indian Affairs,1856-1859,26,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/26/,,
Records of the New Mexico Superintendency of Indian Affairs,1860-1869,27,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/27/,,
Records of the New Mexico Superintendency of Indian Affairs,1868-1870,28,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/28/,,
Records of the New Mexico Superintendency of Indian Affairs,1871-1872,29,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/29/,,
Records of the New Mexico Superintendency of Indian Affairs,1872-1873,30,New Mexico,T21,https://dlcs-ida.org/iiif-resource/ida/roll/T-21/30/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1891-1893,1,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/01/,,Knight Foundation
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1893-1894,2,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/02/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1894-1895,3,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/03/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1895-1896,4,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/04/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1896-1897,5,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/05/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1897-1898,6,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/06/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1898-1899,7,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/07/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1899-1900,8,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/08/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1900,9,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/09/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1897-1899,10,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/10/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1876-1883,11,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/11/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1878-1880,12,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/12/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1898-1900,13,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/13/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1898-1899,14,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/14/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1899,15,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/15/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1899-1900,16,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/16/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1900,17,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/17/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1874-1883,18,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/18/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1876-1882,19,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/19/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1876-1886,20,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/20/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1885-1891,21,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/21/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1887-1891,22,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/22/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1892-1895,23,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/23/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1898-1900,24,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/24/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1890-1896,25,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/25/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1896-1897,26,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/26/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1897-1898,27,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/27/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1898,28,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/28/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1898-1899,29,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/29/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1899,30,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/30/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1874-1900,31,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/31/,,
Records Created by Bureau of Indian Affairs Field Agencies Having Jurisdiction Over the Pueblo Indians,1874-1900,32,New Mexico,M1304,https://dlcs-ida.org/iiif-resource/ida/roll/M-1304/32/,,
Miscellaneous Letters Sent by the Pueblo Indian Agency,1874-1877,1,New Mexico,M941,https://dlcs-ida.org/iiif-resource/ida/roll/M-941/01/,,Knight Foundation
